0.70556,0.045
0.70833,0.07
0.71111,0.05
0.71389,0.06
0.71667,0.05
0.71944,0.04
0.72222,0.015
0.725,0.01
0.72778,0.015
0.73056,0.03
0.73333,0.04
0.73611,0.04
0.73889,0.06
0.74167,0.06
0.74444,0.055
0.74722,0.045
0.75,0.035
0.75278,0.025
0.75556,0.015
0.75833,0.01
0.76111,0.01
0.76389,0
0.76667,0.005
0.76944,0.035
0.77222,0.03
0.775,0.045
0.77778,0.04
0.78056,0.03
0.78333,0.015
0.78611,0.01
0.78889,0.005
0.79167,-0.01
0.79444,-0.025
0.79722,0
0.8,0.01
0.80278,0.02
0.80556,0.03
0.80833,0.02
0.81111,0.02
0.81389,0.015
0.81667,-0.015
0.81944,-0.025
0.82222,-0.04
0.825,-0.035
0.82778,-0.025
0.83056,-0.015
0.83333,-0.02
0.83611,-0.01
0.83889,0.015
0.84167,0.02
0.84444,0.01
0.84722,0.005
0.85,-0.015
0.85278,-0.03
0.85556,-0.045
0.85833,-0.045
0.86111,-0.05
0.86389,-0.055
0.86667,-0.04
0.86944,-0.005
0.87222,0.005
0.875,-0.01
0.87778,-0.015
0.88056,-0.025
0.88333,-0.035
0.88611,-0.03
0.88889,-0.035
0.89167,-0.025
0.89444,-0.035
0.89722,-0.025
0.9,-0.03
0.90278,-0.035
0.90556,-0.025
0.90833,-0.005
0.91111,-0.015
0.91389,0
0.91667,-0.015
0.91944,-0.025
0.92222,-0.015
0.925,-0.02
0.92778,-0.04
0.93056,-0.035
0.93333,-0.025
0.93611,-0.015
0.93889,-0.01
0.94167,0
0.94444,-0.02
0.94722,0
0.95,-0.02
0.95278,-0.02
0.95556,-0.01
0.95833,-0.03
0.96111,-0.02
0.96389,-0.045
0.96667,-0.045
0.96944,-0.035
0.97222,-0.015
0.975,-0.015
0.97778,-0.015
0.98056,-0.01
0.98333,0
0.98611,-0.02
0.98889,-0.035
0.99167,-0.04
0.99444,-0.035
0.99722,-0.02
1,-0.01
1.0028,-0.01
1.0056,-0.01
1.0083,-0.005
1.0111,-0.01
1.0139,-0.005
1.0167,-0.015
1.0194,-0.03
1.0222,-0.025
1.025,-0.04
1.0278,-0.035
1.0306,-0.025
1.0333,-0.025
1.0361,-0.02
1.0389,0.005
1.0417,0.015
1.0444,0.01
1.0472,0.015
1.05,-0.005
1.0528,-0.02
1.0556,-0.025
1.0583,-0.03
1.0611,-0.03
1.0639,-0.04
1.0667,-0.015
1.0694,-0.005
1.0722,0
1.075,0.02
1.0778,0.005
1.0806,-0.01
1.0833,-0.03
1.0861,-0.02
1.0889,-0.035
